Ticker,year,Sector,CurrentRatio,QuickRatio,CashRatio,OperatingCashFlowRatio,equityRatio,DebtToEquity,DebtToAssets,InterestCoverage,AssetTurnover,ReceivablesTurnover,GrossMargin,GrossProfitMargin,OperatingMargin,ReturnOnEquity,ReturnOnAssets,EPS,PE,Result
BIO,2019,Healthcare,2.407694134147621,3.0195219189504083,0.7296252326075793,0.5056869447097996,0.7185863804069968,0.39162114293568245,0.2814136195930032,9.807866416125727,0.28863774477737714,5.886997290359384,0.5437635914293587,0.7607847870295749,0.09934899567799577,0.305587763943954,0.21959120518915365,58.93090506986563,7.168225096406863,0.11547608632409875
BIO,2020,Healthcare,3.3883024879025108,4.373603405031542,1.0485625522535533,0.9109979478604545,0.7615995476009546,0.31302599003637677,0.23840045239904545,18.798636841864507,0.19623070686271654,6.0693379491874575,0.5648205981554243,1.4952184649276838,0.16143651895447328,0.38525203594353813,0.2934077762869453,127.86438457403924,5.909151401629824,-0.4409641440256718
BIO,2021,Healthcare,2.921100012042212,3.761468738710426,0.6913742514002743,0.964142109854348,0.7688620396443591,0.3006234518517196,0.2311379603556409,315.5577047066409,0.1644114932693587,6.9003298413125655,0.5613809197121002,1.45280979420334,0.16746705354408573,0.31066513286545666,0.23885862770132082,142.33186953169522,4.09563932771637,0.30048713407165084
BIO,2022,Healthcare,5.5528953346884515,6.81772016570894,0.7635113274298937,0.3419100839094931,0.7121530039329961,0.4041926306247616,0.28784699606700387,12.465655664585192,0.20754838699164976,5.665171992034692,0.559311467324995,-1.2945084466084207,0.1695481022564376,-0.3772688432918867,-0.26867314004064385,,,0.5449097985231192
TECH,2019,Healthcare,4.045761631612492,4.938539981369809,0.9892239054762956,1.7808403196548512,0.6185432045043276,0.6167019421082388,0.3814567954956724,6.77742455655379,0.3789016190744052,5.194055257299987,0.6631470883998174,0.13455349114713322,0.2060262798912054,0.08242356439534004,0.05098253564776243,0.6357163653688361,136.31866093588786,-0.17479732130625764
TECH,2020,Healthcare,4.8835639554505565,5.850601867476657,1.3745921925975926,1.9238853264334195,0.6811991976677719,0.4679993802454691,0.3188008023322281,7.753659425951971,0.36431988928722736,6.028457407739893,0.6541219535638041,0.3104085470108611,0.20150103358508498,0.1660131248950182,0.11308800748080602,1.5005889898170206,75.01388001995953,-0.2285917172236881
TECH,2021,Healthcare,3.352985211841034,4.119631740695017,1.3073664994352656,2.3125476084158545,0.6906764026006681,0.44256931190661886,0.3056721802491165,17.39463876146789,0.4114227535034912,6.403906867971249,0.6797295903900188,0.1508111429037885,0.26066773215098943,0.0898353200411268,0.06204713567248516,0.9059411051178156,72.87173686910836,0.7081183586498403
TECH,2022,Healthcare,3.4403072413048665,4.242060471088184,0.9803940506084605,1.8479473690190775,0.7415749922106671,0.34892729334751466,0.25875575484627233,26.15863471571315,0.48178341950623255,5.682911158171763,0.6842408504349226,0.24606661185475023,0.2675726009158836,0.15986355382924838,0.11855081368569442,1.7341785869094062,30.167019141865307,0.1921559644665867
BIIB,2019,Healthcare,1.7233027673835273,1.888646737119125,0.5990583494387105,1.4553641185904025,0.4899409935265456,1.0413693866538762,0.5102095519253295,37.54375667022412,0.5279335250033964,5.819362933581576,0.8639996105133573,0.4095521599120873,0.4893412807155426,0.4413109299118652,0.21621631545514297,31.47247461250668,8.6624902629828,-0.05450653460483627
BIIB,2020,Healthcare,1.8403880070546736,2.1259419592752926,0.3557265779488002,1.1302976858532414,0.4346376158154914,1.3020943338037252,0.5659391768113117,19.983370786516854,0.5461088838250288,5.776908864349246,0.8657304791514809,0.29756184639185995,0.33071270249765705,0.3738773679242638,0.16250116780197327,24.863890615288998,9.6493345261669,0.15311272315542743
BIIB,2021,Healthcare,1.8278581731887766,2.1422921222837465,0.5261272160439253,0.8468428644548881,0.4563413786315873,1.1855142159651988,0.5409991917009042,11.072555205047319,0.4599221855067365,5.598052709384717,0.8078894888769498,0.14169937259258586,0.2556981159565459,0.14281125530001285,0.06517068512771544,10.43661971830986,23.461619491680107,-0.02368359727403298
BIIB,2022,Healthcare,2.9916890735761426,3.4024688340259104,1.0447628941579077,0.422971156196529,0.5456481809555227,0.8333918002074953,0.4547387198064682,11.767639902676398,0.4143259170566219,4.7619359670473695,0.7760532368726286,0.29949672675801603,0.28524387127214107,0.22741623687294277,0.1240892559694715,20.969717825189264,14.150405525719083,-0.1855145996805175
BLK,2019,Financial Services,20.11482433590403,20.11482433590403,4.13796058269066,2.4712939160239933,0.1989479427358233,3.985244582227919,0.7928562109333301,27.75862068965517,0.0862224383532398,4.573450770682604,0.509388541165142,0.30786161359103104,0.38757823784304285,0.13342474736936238,0.0265445789991816,28.574911514971138,24.918361607324226,-0.12599185836078566
BLK,2020,Financial Services,27.924124513618676,27.924124513618676,8.428015564202335,3.6410505836575875,0.19935925687358036,3.948813876371057,0.7872325999254162,30.795121951219514,0.09156298380626278,4.584158415841584,0.5100894785560013,0.30435050910212896,0.38957112002468375,0.13978403197007058,0.02786724073634607,32.003977941316606,28.60769368224757,-0.2283577061219189
BLK,2021,Financial Services,14.454545454545455,14.454545454545455,6.673586256263421,3.5390121689334286,0.24692757193019232,3.0179343644708565,0.7452112048634768,36.52682926829268,0.12691944866621246,5.113222486144101,0.5067616393104161,0.3045834623722515,0.38649736760607,0.15655426737059933,0.038657565117132225,38.60712481043598,18.689295863656305,0.25316182336896365
BLK,2022,Financial Services,12.708655332302937,12.708655332302937,5.731066460587326,3.829984544049459,0.3208759819090693,2.0888883001271727,0.670274084401673,30.608490566037737,0.1519451151086476,5.475796568627451,0.4916354277401667,0.2897107368656633,0.3630616012980473,0.13718736752861382,0.04402013126126433,34.309304047826664,14.652002602742243,0.3900784361596201
BK,2019,Financial Services,0.36795110369609857,0.36795110369609857,0.36795110369609857,0.0003080082135523614,0.10873428604380511,8.190825157293348,0.89062352558793,0.28142201834862385,0.04216949579038971,2.715732613099257,0.3521258080556937,0.2760442565887618,0.0762680258577822,0.10705590241785792,0.01164064711618105,4.7263636586162745,9.796114429886185,-0.07692315093019922
